DataFile,knn,logistic,svm,decision,quadratic,randomForest,AdaBoost
acute-inflammations-1,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,1.0
acute-inflammations-2,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0
balance-scale,0.784,0.832,0.872,0.752,0.896,0.816,0.928
banknote-authentication,1.0,0.9745454545454545,1.0,0.9890909090909091,0.9781818181818182,0.9927272727272727,0.9963636363636363
blood-transfusion-service-center,0.7133333333333334,0.7466666666666667,0.7533333333333333,0.74,0.32666666666666666,0.7733333333333333,0.7866666666666666
breast-cancer-wisconsin-diagnostic,0.9385964912280702,0.9824561403508771,0.9736842105263158,0.9385964912280702,0.956140350877193,0.956140350877193,0.9473684210526315
breast-cancer-wisconsin,0.9635036496350365,0.9927007299270073,1.0,0.9416058394160584,1.0,0.9854014598540146,0.9927007299270073
breast-cancer-wisconsin-prognostic,0.6666666666666666,0.6666666666666666,0.717948717948718,0.5897435897435898,0.717948717948718,0.717948717948718,0.6666666666666666
car-evaluation,0.791907514450867,0.884393063583815,0.9104046242774566,0.9710982658959537,0.17052023121387283,0.9421965317919075,0.8670520231213873
chess-king-rook-vs-king-pawn,0.9015625,0.9609375,0.925,0.99375,0.66875,0.990625,0.9734375
climate-model-simulation-crashes,0.8981481481481481,0.9907407407407407,0.9351851851851852,0.8333333333333334,0.9259259259259259,0.9351851851851852,0.9351851851851852
congressional-voting-records,0.9148936170212766,0.9787234042553191,0.9787234042553191,0.9574468085106383,0.6382978723404256,0.9361702127659575,0.9574468085106383
connectionist-bench,0.9848484848484849,0.5505050505050505,0.9747474747474747,0.8232323232323232,0.8939393939393939,0.8787878787878788,0.13131313131313133
connectionist-bench-sonar,0.9761904761904762,0.7142857142857143,0.7619047619047619,0.6904761904761905,0.7142857142857143,0.7857142857142857,0.7857142857142857
contraceptive-method-choice,0.46440677966101696,0.5254237288135594,0.5694915254237288,0.49830508474576274,0.31864406779661014,0.5152542372881356,0.559322033898305
credit-approval,0.8091603053435115,0.8778625954198473,0.8625954198473282,0.8473282442748091,0.7099236641221374,0.8702290076335878,0.8549618320610687
cylinder-bands,0.7857142857142857,0.7857142857142857,0.6964285714285714,0.7142857142857143,0.39285714285714285,0.8035714285714286,0.7142857142857143
dermatology,0.9722222222222222,0.9861111111111112,0.9861111111111112,0.9722222222222222,0.875,1.0,0.8333333333333334
echocardiogram,0.7692307692307693,0.6923076923076923,0.6923076923076923,0.8461538461538461,0.6153846153846154,0.7692307692307693,0.6923076923076923
fertility,0.85,0.85,0.85,0.8,0.85,0.85,0.65
haberman-survival,0.6612903225806451,0.7580645161290323,0.7258064516129032,0.6774193548387096,0.7419354838709677,0.7096774193548387,0.7096774193548387
hayes-roth,0.7407407407407407,0.37037037037037035,0.7777777777777778,0.9259259259259259,0.4444444444444444,0.8518518518518519,0.4444444444444444
heart-disease-cleveland,0.55,0.48333333333333334,0.5666666666666667,0.5166666666666667,0.48333333333333334,0.5666666666666667,0.45
hepatitis,0.9375,0.8125,0.875,0.8125,0.875,0.9375,0.875
image-segmentation,0.8809523809523809,0.9047619047619048,0.9285714285714286,0.9047619047619048,0.7380952380952381,0.9047619047619048,0.40476190476190477
indian-liver-patient,0.646551724137931,0.7672413793103449,0.7068965517241379,0.6637931034482759,0.5517241379310345,0.6982758620689655,0.6637931034482759
ionosphere,0.8028169014084507,0.9154929577464789,0.9154929577464789,0.8028169014084507,0.8873239436619719,0.8732394366197183,0.9436619718309859
iris,1.0,0.8,0.9666666666666667,0.9666666666666667,1.0,1.0,0.9666666666666667
mammographic-mass,0.7228915662650602,0.8072289156626506,0.8072289156626506,0.7891566265060241,0.7228915662650602,0.7831325301204819,0.7951807228915663
monks-problems-1,0.6,0.6,0.68,0.68,0.52,0.72,0.56
monks-problems-2,0.6764705882352942,0.6764705882352942,0.6764705882352942,0.7941176470588235,0.6764705882352942,0.6470588235294118,0.6470588235294118
monks-problems-3,0.76,0.92,0.92,0.88,0.64,0.88,0.88
optical-recognition-handwritten-digits,0.9751633986928104,0.9594771241830066,0.9803921568627451,0.8875816993464052,0.6209150326797386,0.9581699346405229,0.3764705882352941
ozone-level-detection-eight,0.9108108108108108,0.9243243243243243,0.9243243243243243,0.9081081081081082,0.927027027027027,0.927027027027027,0.9135135135135135
ozone-level-detection-one,0.9621621621621622,0.9783783783783784,0.9837837837837838,0.9567567567567568,0.9837837837837838,0.972972972972973,0.9702702702702702
parkinsons,0.9743589743589743,0.8461538461538461,0.8717948717948718,0.8205128205128205,0.9487179487179487,0.9230769230769231,0.9487179487179487
pima-indians-diabetes,0.7077922077922078,0.7792207792207793,0.7987012987012987,0.6883116883116883,0.7402597402597403,0.8246753246753247,0.7792207792207793
planning-relax,0.4864864864864865,0.7027027027027027,0.7027027027027027,0.4594594594594595,0.5945945945945946,0.5405405405405406,0.5945945945945946
qsar-biodegradation,0.8246445497630331,0.8436018957345972,0.8483412322274881,0.8246445497630331,0.6587677725118484,0.8483412322274881,0.8672985781990521
seeds,0.9285714285714286,1.0,1.0,0.9761904761904762,1.0,0.9761904761904762,0.5952380952380952
seismic-bumps,0.9052224371373307,0.9400386847195358,0.9439071566731141,0.8878143133462283,0.05609284332688588,0.9342359767891683,0.9381044487427466
soybean-small,1.0,1.0,0.9,1.0,0.3,1.0,1.0
spambase,0.9142236699239956,0.9272529858849077,0.9326818675352877,0.9142236699239956,0.7969598262757872,0.9359391965255157,0.9359391965255157
spect-heart,0.625,0.75,0.8125,0.75,0.6875,0.8125,0.75
spectf-heart,0.875,0.875,0.8125,0.75,0.5625,0.75,0.9375
statlog-project-german-credit,0.685,0.76,0.76,0.69,0.625,0.755,0.77
statlog-project-landsat-satellite,0.8895152198421646,0.8444193912063134,0.8883878241262683,0.8489289740698985,0.8669673055242391,0.8962795941375423,0.7361894024802705
teaching-assistant-evaluation,0.8064516129032258,0.6129032258064516,0.3225806451612903,0.6451612903225806,0.5483870967741935,0.5483870967741935,0.5161290322580645
thoracic-surgery,0.7978723404255319,0.8297872340425532,0.851063829787234,0.776595744680851,0.18085106382978725,0.8617021276595744,0.7978723404255319
thyroid-disease-ann-thyroid,0.937748344370861,0.9536423841059603,0.9562913907284768,1.0,0.752317880794702,0.9933774834437086,0.9920529801324504
thyroid-disease-new-thyroid,0.9767441860465116,0.9069767441860465,1.0,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.813953488372093
tic-tac-toe-endgame,0.796875,0.9895833333333334,0.9166666666666666,0.9427083333333334,0.7604166666666666,0.9479166666666666,0.9375
wall-following-robot-navigation-2,0.9935897435897436,0.8772893772893773,0.9789377289377289,1.0,0.913003663003663,1.0,0.8525641025641025
wine,0.9722222222222222,1.0,0.9722222222222222,0.8888888888888888,1.0,0.9722222222222222,0.8333333333333334
